collaborator,collaboration
'Big' Bob Bryan,Bass
'Bunk' Williams,Guitar
'Crusher' Bennett,Percussion
'Herybert' Jack Jäger,Drums
'Jelle' Graf,Bass
'Light' Henry Huff,Saxophone
'No Sleep' Nigel,"Keyboards, Tape [Tapes], Electronics [Mixing Desk, Sleep-o-phone]"
'Sweet Johnny Winkler,Vocals
"""Atu"" Harold Murray",Percussion
"""Big Chief"" Russell Moore",Trombone
"""Big Jeb"" Dooley",Trumpet
"""Big"" Tiny Little",Piano
"""Chango"" Farías Gómez",Percussion
"""Chick"" Powers",Tenor Saxophone
"""Cugar"" Nelson",Trombone
"""Dr. Blues"" Candy Green",Piano
"""Guitar George"" Laughery",Guitar
"""Homer Fields""",Piano
"""Jeff"" A. Hamann",Bass
"""John"" Pfister",Guitar
"""Low Joe"" Sellmansberger","Tuba, Bass"
"""m"" Nadar",Vocals
"""Moist"" Paula Henderson",Baritone Saxophone
"""Moose"" Buhler",Percussion
"""Old Grand Happy""",Piano
"""Öset"" Luhring","Guitar, Banjo"
"""Partner""",Guitar
"""Philly"" Joe Jones",Drums
"""Pops"" Mohammed Ismael",Piano
"""Poussy"" Billé",Backing Vocals
"""Shorty"" Nadine",Piano
"""Sir"" Egmont Kosche",Trombone
"""Sissi"" Catherine Elolongue",Vocals
"""Specs"" Wright*",Drums
"""Stix"" Hooper",Drums
"""The Prince""",Trumpet
"""The Rabbit""",Alto Saxophone
"""Tiger"" Brown","Trombone, Claves"
"""To-Tiko""",Percussion
"""Tricky Clay"" Neumann",Drums
(Alex McInnes),Trombone
35Bag,Trombone
4 + 4 Di Nora Orlandi,Vocals
4 Hits And A Miss,Vocals
A. Carroll,Trumpet [Uncredited]
A. Cмехнов,Saxophone
A. Downey,Trumpet
A. Farkašová,Vocals
A. G. Robeson,Trombone
A. Grace Lee Mims,Soprano Vocals
A. Green,"Drums, Percussion"
A. J. Johnson,Piano
A. J. Johnson (2),Piano [Uncredited]
A. J. Mantas,"Piano, Vibraphone"
A. Kobena Adzenyah,Drums
A. Lepage,Piano
A. Loustalot,Trumpet
A. Musial,Trombone
A. Perucca,Trumpet
A. Prääts,Percussion
A. Ray Fuller,Guitar
A. Sarko,Piano
