artist,earliest,count,topic
Antonio Carlos Jobim,1990,97,0
Astrud Gilberto,1987,179,0
Bob James,1978,480,0
Eumir Deodato,2003,268,0
Freddie Hubbard,1981,700,0
George Benson,1981,500,0
Hank Crawford,1966,259,0
Johnny Hammond,1976,195,0
Ron Carter,1980,290,0
Stanley Turrentine,2014,496,0
Bik Bent Braam,2000,55,1
Contraband (13),1998,55,1
De Zes Winden,1999,30,1
Fud Candrix Et Son Orchestre,1943,239,1
ICP Orchestra,2001,81,1
J.C. Tans + Rockets,2000,46,1
Terje Rypdal,1987,119,1
Trondheim Jazz Orchestra,2014,131,1
Willem Breuker,2001,50,1
Willem Breuker Kollektief,1986,240,1
Clark Terry,2015,472,2
Clarke-Boland Big Band,1966,538,2
Cleo Laine,1964,92,2
Johnny Keating And All Stars,2008,65,2
Kenny Wheeler,2006,242,2
Maynard Ferguson,1980,1037,2
Michael Gibbs,1971,247,2
Ted Heath And His Music,1959,274,2
The John Dankworth Orchestra,1965,170,2
Tubby Hayes,1992,93,2
Barry Guy,1972,144,3
Chris McGregor's Brotherhood Of Breath,2004,155,3
Globe Unity Orchestra,1977,185,3
Graham Collier Music,2000,88,3
London Improvisers Orchestra,2003,164,3
Mike Westbrook,2008,208,3
Paul Dunmall,2003,168,3
Spontaneous Music Ensemble,2013,113,3
The Dedication Orchestra,1994,56,3
The Glasgow Improvisers Orchestra,2013,126,3
Art Pepper,1972,568,4
Chet Baker,2002,1197,4
Maynard Ferguson,1980,1037,4
Mel Tormé,1987,325,4
Shelly Manne & His Men,1953,235,4
Shorty Rogers,1994,227,4
Shorty Rogers And His Giants,1992,281,4
Stan Kenton,1992,1626,4
Stan Kenton And His Orchestra,2002,2256,4
Woody Herman,1979,1455,4
Aardvark Jazz Orchestra,2014,196,5
Anthony Braxton,1995,961,5
Butch Morris,2007,170,5
John Zorn,2010,294,5
Masada (3),1994,81,5
Rova Saxophone Quartet,1982,137,5
The Fonda/Stevens Group,2011,57,5
The Vinny Golia Large Ensemble,1986,165,5
Vinny Golia,2012,56,5
William Parker,2012,199,5
Czechoslovak Radio Jazz Orchestra,1972,54,6
Duke Ellington,2015,2609,6
Duke Ellington And His Orchestra,1993,2290,6
Earl Hines,1970,212,6
Ella Fitzgerald,2003,1203,6
Johnny Hodges,1957,401,6
Johnny Hodges And His Orchestra,2013,179,6
Lionel Hampton,1975,918,6
Louis Armstrong,1973,1974,6
Milan Svoboda,1990,74,6
Benny Carter,1996,449,7
Billie Holiday,1986,1159,7
Cab Calloway,1973,134,7
Coleman Hawkins,1987,1050,7
Duke Ellington And His Orchestra,1993,2290,7
Ella Fitzgerald,2003,1203,7
Louis Armstrong,1973,1974,7
Louis Armstrong And His All-Stars,1987,394,7
Louis Armstrong And His Orchestra,1975,269,7
Sidney Bechet,1984,670,7
Chet Baker,2002,1197,8
Dave Brubeck,1991,337,8
Django Reinhardt,2005,1018,8
Gerry Mulligan,1983,656,8
Gerry Mulligan Quartet,1994,314,8
Lee Konitz,2006,501,8
Lennie Tristano,1953,169,8
Miles Davis,1992,3700,8
Stan Getz,1993,1510,8
The Dave Brubeck Quartet,1989,599,8
Bob Brookmeyer,1956,274,9
George Gruntz,1974,227,9
Jiggs Whigham,2006,92,9
Michael Gibbs,1971,247,9
Peter Herbolzheimer,2000,52,9
Peter Herbolzheimer Rhythm Combination & Brass,1990,261,9
Phil Wilson,1993,66,9
SWR Big Band,1995,88,9
The NDR Big Band,1996,161,9
The Peter Herbolzheimer Orchestra,2006,76,9
Charles Mingus,1979,1614,10
Gene Krupa,1963,824,10
Gerry Mulligan,1983,656,10
Gil Evans,1981,514,10
Jimmy Smith,1985,724,10
Manny Albam,2004,158,10
Miles Davis,1992,3700,10
Quincy Jones,1978,528,10
Stan Getz,1993,1510,10
Woody Herman,1979,1455,10
Bob James,1978,480,11
Earl Klugh,1983,134,11
George Benson,1981,500,11
Larry Carlton,1995,215,11
Lee Ritenour,1990,465,11
Michael Franks,1999,152,11
Sadao Watanabe,1991,365,11
Spyro Gyra,1983,399,11
Tom Scott,1975,259,11
Yellowjackets,1985,171,11
Buddy Rich,1976,731,12
Buddy Rich Big Band,1981,329,12
Frank Mantooth,1995,134,12
Maynard Ferguson,1980,1037,12
Maynard Ferguson & His Orchestra,1995,166,12
Rob Parton's Jazztech Big Band,2000,159,12
Stan Kenton And His Orchestra,2002,2256,12
The North Texas State University Lab Band,1975,1213,12
University Of North Texas Two O'Clock Lab Band,1994,305,12
Woody Herman,1979,1455,12
Anthony Braxton,1995,961,13
Bill Frisell,2014,111,13
Cassandra Wilson,2003,94,13
Dave Douglas,2015,142,13
Erik Friedlander,2010,42,13
John Zorn,2010,294,13
Marty Ehrlich,2002,59,13
Paul Motian,2015,136,13
Satoko Fujii Orchestra New York,2004,122,13
Steve Coleman And Five Elements,1990,153,13
Billie Holiday,1986,1159,14
Buck Clayton,1974,225,14
Coleman Hawkins,1987,1050,14
Count Basie,1956,1913,14
Count Basie Orchestra,1987,1762,14
Ella Fitzgerald,2003,1203,14
Frank Sinatra,1979,196,14
