	entropy
Z_0	8.207231155474776
Z_1	9.456859145509517
Z_2	8.290324756135826
Z_3	9.528499618822844
Z_4	7.497921368961729
Z_5	9.616294868252682
Z_6	5.55059246593863
Z_7	6.963939046228545
Z_8	8.44761687965537
Z_9	8.758131295055927
Z_10	8.438555527072118
Z_11	8.861203973118846
Z_12	8.315415449237491
Z_13	9.876876187410902
Z_14	6.92989979766081
Z_15	8.156973752630497
Z_16	9.434968589752327
Z_17	9.01337340004693
Z_18	8.08531007284784
Z_19	8.15196263746196
Z_20	9.226570254575785
Z_21	7.022653482127216
Z_22	8.996218264673978
Z_23	9.234443754653094
Z_24	7.134679132881271
Z_25	9.51105337522168
Z_26	8.637879332964438
Z_27	7.430571598997966
Z_28	9.08307189396985
Z_29	7.919817423928698
