	name_top_0	val_top_0	name_top_1	val_top_1	name_top_2	val_top_2	name_top_3	val_top_3	name_top_4	val_top_4	name_top_5	val_top_5	name_top_6	val_top_6	name_top_7	val_top_7	name_top_8	val_top_8	name_top_9	val_top_9
Z_0	George Benson	8.242053311099498	Eumir Deodato	8.236706318834282	Bob James	8.233955028046692	Stanley Turrentine	8.226463953760382	Hank Crawford	8.224618813430391	Astrud Gilberto	8.224618813430403	Freddie Hubbard	8.219380021182769	Ron Carter	8.213890850196387	Johnny Hammond	8.212460426371816	Antonio Carlos Jobim	8.211998388946817
Z_1	Willem Breuker Kollektief	9.488945999063576	Trondheim Jazz Orchestra	9.484244051993835	ICP Orchestra	9.470648610403284	Contraband (13)	9.469883718508363	J.C. Tans + Rockets	9.469883718508365	Bik Bent Braam	9.466941351047376	Terje Rypdal	9.465545184313077	Willem Breuker	9.464203146751274	De Zes Winden	9.462299704688993	Fud Candrix Et Son Orchestre	9.461696601274104
Z_2	Ted Heath And His Music	8.3877329951893	Clarke-Boland Big Band	8.370324217873543	Johnny Keating And All Stars	8.308848178584213	The John Dankworth Orchestra	8.307072760626863	Clark Terry	8.302569759279677	Kenny Wheeler	8.299430719466185	Cleo Laine	8.299430719466176	Michael Gibbs	8.294710811221982	Tubby Hayes	8.294710811221982	Maynard Ferguson	8.293851824280281
Z_3	London Improvisers Orchestra	9.577376479178586	Chris McGregor's Brotherhood Of Breath	9.57406285567304	Globe Unity Orchestra	9.559440773222812	Barry Guy	9.555066749960993	Mike Westbrook	9.541878287036866	The Dedication Orchestra	9.539542838214436	The Glasgow Improvisers Orchestra	9.53768806802764	Spontaneous Music Ensemble	9.536971015615824	Graham Collier Music	9.53425734072033	Paul Dunmall	9.53425734072029
Z_4	Stan Kenton	7.911753894907296	Stan Kenton And His Orchestra	7.874943357790648	Shorty Rogers And His Giants	7.506540712524941	Shorty Rogers	7.503711388391286	Art Pepper	7.499173386249909	Maynard Ferguson	7.498020655540879	Mel Tormé	7.495783513266315	Woody Herman	7.4950308856524295	Chet Baker	7.493837263755889	Shelly Manne & His Men	7.493743538931948
Z_5	William Parker	9.677242431176722	Anthony Braxton	9.66471458641725	Rova Saxophone Quartet	9.628793083971939	Masada (3)	9.627108428858508	The Vinny Golia Large Ensemble	9.624963722201299	Aardvark Jazz Orchestra	9.622945585202899	Vinny Golia	9.621988260327079	The Fonda/Stevens Group	9.621523408398405	Butch Morris	9.621068139386871	John Zorn	9.620622758835609
Z_6	Duke Ellington	6.188683688783904	Duke Ellington And His Orchestra	6.087632005909033	Johnny Hodges	5.528798918362908	Ella Fitzgerald	5.521467481535188	Johnny Hodges And His Orchestra	5.520078532819683	Lionel Hampton	5.521498391982775	Louis Armstrong	5.523479287955796	Czechoslovak Radio Jazz Orchestra	5.525154005199068	Earl Hines	5.525932276301903	Milan Svoboda	5.526778858745057
Z_7	Louis Armstrong	7.26210126168181	Billie Holiday	6.987276188583293	Sidney Bechet	6.984204194364669	Louis Armstrong And His Orchestra	6.983078182236166	Coleman Hawkins	6.981966625152538	Ella Fitzgerald	6.967462761527663	Benny Carter	6.963379488461271	Duke Ellington And His Orchestra	6.960937828351665	Cab Calloway	6.95853573130855	Louis Armstrong And His All-Stars	6.9577412385327415
Z_8	Gerry Mulligan	8.50598266607607	Chet Baker	8.504144189260671	The Dave Brubeck Quartet	8.501417009819214	Dave Brubeck	8.496955088975263	Gerry Mulligan Quartet	8.494329335481712	Miles Davis	8.488358476791575	Django Reinhardt	8.484232915062274	Stan Getz	8.47484161000308	Lee Konitz	8.463581689488898	Lennie Tristano	8.45253009518601
Z_9	Peter Herbolzheimer Rhythm Combination & Brass	8.811654639886557	George Gruntz	8.804615821874044	Bob Brookmeyer	8.794875091042396	SWR Big Band	8.778430313910047	Michael Gibbs	8.773099186230034	Jiggs Whigham	8.772176343318536	The NDR Big Band	8.769936389526825	The Peter Herbolzheimer Orchestra	8.767382515143863	Peter Herbolzheimer	8.764604432134481	Phil Wilson	8.76385375598684
Z_10	Jimmy Smith	8.476740810383774	Miles Davis	8.464188669976869	Quincy Jones	8.463418055101945	Woody Herman	8.457248169024071	Stan Getz	8.456774886883668	Gerry Mulligan	8.453776626721345	Gene Krupa	8.45156637978379	Charles Mingus	8.448826456682974	Manny Albam	8.448418979230631	Gil Evans	8.446828356333926
Z_11	Lee Ritenour	8.940452903734549	Spyro Gyra	8.88312112979567	Sadao Watanabe	8.882362955495314	Tom Scott	8.88198651469479	Michael Franks	8.880867941449816	Larry Carlton	8.879765790353309	George Benson	8.87222717477122	Yellowjackets	8.869749236067056	Earl Klugh	8.86715434778742	Bob James	8.867154347787421
Z_12	The North Texas State University Lab Band	8.4907724941178	Maynard Ferguson	8.396248511768855	University Of North Texas Two O'Clock Lab Band	8.36590787617518	Woody Herman	8.362569375403002	Buddy Rich	8.348063102225225	Maynard Ferguson & His Orchestra	8.337793543553357	Buddy Rich Big Band	8.336718009631038	Stan Kenton And His Orchestra	8.332558337156943	Frank Mantooth	8.32587526195087	Rob Parton's Jazztech Big Band	8.319321901938501
Z_13	Satoko Fujii Orchestra New York	9.926916724665274	Steve Coleman And Five Elements	9.903405864761242	John Zorn	9.893234975517691	Anthony Braxton	9.892642880165429	Marty Ehrlich	9.882619023917066	Cassandra Wilson	9.88172541548841	Paul Motian	9.880456972268442	Erik Friedlander	9.880456972268421	Bill Frisell	9.879663425437919	Dave Douglas	9.879663425437913
Z_14	Count Basie	7.4493298675241295	Count Basie Orchestra	7.226035258364235	Billie Holiday	6.938747325134717	Lester Young	6.937487933254379	Coleman Hawkins	6.931643499275486	Ella Fitzgerald	6.9310261217056075	Sarah Vaughan	6.927019756395929	Lionel Hampton	6.9194388557997195	Frank Sinatra	6.9193778492043085	Buck Clayton	6.919259398744727
Z_15	The Bob Florence Limited Edition	8.218743507968478	The Tom Kubis Big Band	8.177533830186588	Gordon Goodwin's Big Phat Band	8.174059524438439	Paul Anka	8.168650798479957	Wayne Bergeron	8.167968244152657	Diane Schuur	8.167295274226719	Toshiko Akiyoshi-Lew Tabackin Big Band	8.165335658103553	Bill Watrous	8.16501795104338	Natalie Cole	8.16439038793209	Chris Walden Big Band	8.161416878003852
Z_16	Miles Davis	9.56224176086453	Jaco Pastorius	9.446111691990925	John Scofield	9.444032562100103	Chick Corea	9.443696817968481	Mike Stern	9.442386360918084	Art Blakey & The Jazz Messengers	9.442067136016938	Herbie Hancock	9.441751377038337	Gil Evans	9.441751377038337	Wynton Marsalis	9.440825491856607	Kip Hanrahan	9.439643313869265
Z_17	The Airmen Of Note	9.05327127317746	Eddy Louiss	9.05327127317746	Martial Solal	9.049471535641674	Danish Radio Big Band	9.031094602137006	André Hodeir	9.027081175563342	Jef Gilson	9.026598641707446	Orchestre National De Jazz	9.023799381179883	Gérard Badini Super Swing Machine	9.022904575738124	Claude Bolling Big Band	9.020344241923674	Stéphane Grappelli	9.01874857637476
Z_18	Milton Nascimento	8.125662713625987	Eumir Deodato	8.116831971263608	Ivan Lins	8.10312314856779	Gilberto Gil	8.096173610382065	Hyldon	8.095097937793735	Caetano Veloso	8.092688024357269	Ithamara Koorax	8.091056881887322	Djavan	8.090740106225251	João Bosco	8.090116298032097	Edu Lobo	8.089205527580576
Z_19	Charles Mingus	8.47058451419553	Lionel Hampton And His Orchestra	8.201485016073727	Thad Jones / Mel Lewis Orchestra	8.188413958880732	Lionel Hampton	8.18546851374464	Thad Jones & Mel Lewis	8.172328216515883	Duke Ellington	8.164152189840316	Lionel Hampton & His Big Band	8.160268371957045	Frank Foster	8.151483188193504	Max Roach	8.151205136213964	Miles Davis	8.151205136213964
Z_20	Giorgio Gaslini	9.272081516968395	Italian Instabile Orchestra	9.269005226708877	Enrico Rava	9.249856478163323	Nexus (46)	9.241820480747368	Chet Baker	9.24009783910909	Nicola Conte	9.238429947601082	Piero Umiliani	9.236296647945995	Franco D'Andrea	9.233308567447375	Mina (3)	9.232374247731832	Roberto Gatto	9.231919515603337
Z_21	Woody Herman	7.1819364946145114	Woody Herman And His Orchestra	7.088681092193662	Gene Krupa	7.065438100620402	Charlie Barnet And His Orchestra	7.039921366525788	Harry James And His Orchestra	7.03822453162515	Charlie Parker	7.029104950009319	Gene Krupa And His Orchestra	7.028152804480628	Benny Goodman	7.026990367952399	Charlie Barnet	7.026307994797035	Glen Gray & The Casa Loma Orchestra	7.020708301050254
Z_22	Toshiyuki Miyama & The New Herd	9.021893621651051	Boy's Big Band	9.021167286250867	Terumasa Hino	9.014888816492265	Takeshi Inomata & The Third	9.013560517995714	Rita Reys	9.007917829009953	Hans Koller	9.007917829009967	ORF Big Band	9.005043661051777	The Dutch Swing College Band	9.003951931039985	Sadao Watanabe	8.999504080871267	Mari Nakamoto	8.999062090537699
