	Z_0	Z_1	Z_2	Z_3	Z_4	Z_5	Z_6	Z_7	Z_8	Z_9	Z_10	Z_11	Z_12	Z_13	Z_14	Z_15	Z_16	Z_17	Z_18	Z_19	Z_20	Z_21	Z_22	Z_23	Z_24	Z_25	Z_26	Z_27	Z_28	Z_29
Z_0	0.439053314581	0.00158364459967	0.00646187118245	0.00198991760477	0.0204296413386	0.00242061865876	0.0111494747459	0.00845573360309	0.0228828677802	0.00708119705627	0.0550751581089	0.0771261356771	0.0184925939529	0.00199746584179	0.0280511876099	0.0238121712945	0.0460064788371	0.00304242673846	0.0380508457591	0.0631572914092	0.00328996329279	0.00878917045948	0.00831623221626	0.0261605494711	0.00673174132396	0.00214348497352	0.00574443060549	0.0275462242681	0.0208007555455	0.0703305769121
Z_1	0.000718955217031	0.810410116051	0.00162938570423	0.0157670048084	0.000792612093467	0.0127136274866	0.000232614291255	0.000188817741055	0.00381333831849	0.0137258388295	0.000563998500162	0.000501437385188	0.00354744668057	0.00797379155773	0.00026198840283	0.000746218683865	0.00208069900078	0.00436738777752	0.000619093671603	0.00114907570901	0.00556589788007	0.00016881536706	0.00864743554992	0.0039227196293	0.000453099414774	0.0243107005399	0.00433840393951	0.000341188418172	0.00907231679624	0.000915322989496
Z_2	0.0033633444854	0.00186806869118	0.731388686329	0.0306220920812	0.00495176201422	0.00130327703649	0.00414004858635	0.00330712115437	0.00693806654482	0.0206639736006	0.00600593559702	0.00212801775885	0.0135353244368	0.00191779488865	0.00285009843491	0.00366916699523	0.00312407024899	0.00643549236164	0.00117979456463	0.00624528286072	0.00245604713775	0.00227316615892	0.0141075143064	0.00294064519178	0.00570233867293	0.00177372214817	0.00394685194056	0.0124735983033	0.00119694012188	0.00294144789716
Z_3	0.00175698737226	0.030664693676	0.0519463872269	0.777891480524	0.00150895223131	0.0357582493841	0.00115811027806	0.000360879420715	0.00321223668779	0.0216623076627	0.00204648683389	0.00451477625873	0.00766330634003	0.0199751774043	0.000499768727974	0.00283875467737	0.00675941873248	0.0124715202323	0.00199464043184	0.00430874381568	0.023970938106	0.000305350669351	0.0179083391548	0.00910317282907	0.000227808950059	0.0158470947684	0.00700720893189	0.00127759022739	0.0261612599178	0.00185144877935
Z_4	0.0297194880626	0.00253978621085	0.0138397195758	0.00248612252007	0.622259037178	0.00123045985928	0.0129321067954	0.0093630036071	0.0618302690779	0.0202912223223	0.0498906222455	0.0196074131415	0.0501523341889	0.00108297771537	0.0301105838913	0.0706843155363	0.00612497058389	0.0045328447014	0.00482099203245	0.0218665338761	0.00380821475698	0.127250780762	0.00605939575186	0.0111723355989	0.0167349271413	0.00181753302867	0.00878143737434	0.0358656041704	0.00266637948224	0.0188475099106
Z_5	0.00148444810509	0.0171737054536	0.00153554423111	0.0248359825489	0.00051871106416	0.767671765374	0.000637300065102	0.000689104504329	0.00387796931111	0.0045080059084	0.000165722696479	0.0016049601599	0.00374983189268	0.0514270852118	0.000428673820818	0.00434882619039	0.00525302011561	0.00182421399384	0.00148939061145	0.00446014662032	0.0166792774112	0.000441419730294	0.005491145053	0.00763760216207	0.00039591471903	0.00888456034545	0.00198266389869	0.000408892757813	0.0342372517692	0.00195752401555
Z_6	0.00826292361535	0.000379727113291	0.00589483579951	0.000972065880975	0.00658821904895	0.000770166545261	0.637074205064	0.0691192531747	0.00671513069271	0.00159451495441	0.0173002582636	0.00177890840091	0.00494766069619	0.000976620116345	0.0425711165997	0.00400775139352	0.00225215790219	0.00354291391137	0.000295641608726	0.0365095454408	0.000666911841634	0.0165092988167	0.00425728872672	0.00155056963286	0.0198756388753	0.0026624631039	0.0018705548016	0.0253086449283	0.00340514373653	0.0111483963505
Z_7	0.00591590098219	0.000290983448512	0.00444535710095	0.000285955316415	0.00450302349592	0.000786169244435	0.0652513214573	0.578619309656	0.0145248459218	0.00239233396826	0.0154596008152	0.000730681106462	0.000437002043842	0.000227299311458	0.0664076778931	0.000851339386777	0.000495551734969	0.0086884125642	0.000118349316937	0.0141727048413	0.000341854988691	0.0215929350394	0.00382885834741	0.000886041059852	0.0482645810911	0.000255694438956	0.00721805066581	0.0284593454568	0.000478876441337	0.00168435710141
Z_8	0.0107816211381	0.0039576267954	0.00628056943237	0.00171414520305	0.0200259980819	0.00297947221982	0.00426922216225	0.00978172717284	0.574349451783	0.00991320178592	0.0200632089231	0.00515212474051	0.00686431160751	0.0035191462087	0.00566496352358	0.00497601634653	0.0106427291996	0.0145934832482	0.00280235579352	0.00804423932836	0.00789815076057	0.00605425886142	0.00634157067894	0.00533682756579	0.00297962615553	0.00521241096655	0.00820588811417	0.0168948374092	0.0048295508626	0.00781675635608
Z_9	0.00485170605671	0.0207148875741	0.0272012325756	0.0168096617549	0.00955686449458	0.00503655562075	0.00147413435521	0.00234282582932	0.014415447597	0.706784154602	0.00810856258705	0.0072344473448	0.0108172473402	0.0135801409727	0.00139077208571	0.00437997405198	0.00912953114295	0.0107202921612	0.00203350034605	0.0120900966808	0.0066868016227	0.00138646268813	0.0401493825329	0.0120210798315	0.00218032584793	0.0209436997272	0.0099455873288	0.00533202866917	0.00576346329758	0.00360506663859
