	entropy
0	7.2235050801020995
1	7.911777912876282
2	6.511582869593703
3	8.47927430615428
4	6.8469399542765865
5	7.374655950808079
6	6.778420173283223
7	7.280895408888879
8	6.273440848496794
9	5.821856093422021
10	8.431123944783595
11	5.91029612333805
12	6.438196096771509
13	7.385597866909651
14	8.10349057037153
15	5.372652304612266
16	8.382926242608876
17	7.141947899808355
18	6.929701650295606
19	7.274150937030836
20	6.260578221428042
21	7.1986147964630245
22	8.344018155135712
23	7.786508636602129
24	7.29350584132226
25	7.152159317529726
26	6.7093141014285385
27	7.545459522867914
28	6.077909634780386
29	7.283162241223114
30	7.173586039691186
31	7.151396659473186
32	6.732994343688856
33	7.944492297716329
34	7.121651214930523
35	6.187427575130219
36	6.343575385414519
37	7.362415893431598
38	5.151308534330438
39	8.21847945506303
