	name_top_0	val_top_0	name_top_1	val_top_1	name_top_2	val_top_2	name_top_3	val_top_3	name_top_4	val_top_4	name_top_5	val_top_5	name_top_6	val_top_6	name_top_7	val_top_7	name_top_8	val_top_8	name_top_9	val_top_9
0	Rihanna	7.318529135258892	Ellie Goulding	7.299410409623428	Katy Perry	7.25635037994128	Lana Del Rey	7.249564654395207	Imagine Dragons	7.241989253433951	Justin Timberlake	7.2338546834120425	Florence + the Machine	7.233217350954499	Calvin Harris	7.2292851551471395	OneRepublic	7.228995479424406	Lorde	7.224775884811093
1	Queen	8.133084137353032	Michael Jackson	8.040571343009564	The Beatles	7.944753557430214	Madonna	7.9395630753448065	U2	7.931248995161387	Electric Light Orchestra	7.930524883286271	David Bowie	7.925609389707848	Pet Shop Boys	7.922658966855048	Depeche Mode	7.916179234760063	Bon Jovi	7.9157502697898545
2	Taylor Swift	7.672196237926988	Katy Perry	6.519866817831521	Carrie Underwood	6.514921396996896	Kelly Clarkson	6.512510532781665	Avril Lavigne	6.508241205266823	Demi Lovato	6.498244551823809	Paramore	6.49713855852173	Lady Antebellum	6.496452191459497	Lady Gaga	6.496069044256612	Colbie Caillat	6.495717218113217
3	Radiohead	8.619199909673172	The Smiths	8.531989438589378	The National	8.50490909426117	Interpol	8.50259241343858	The Cure	8.49824862889844	Arcade Fire	8.497907337279349	The Beatles	8.49599130971381	Sigur Rós	8.490815904385745	Joy Division	8.485451521072859	Depeche Mode	8.485166249344866
4	Kanye West	7.315935960020393	Kid Cudi	6.944191234547138	Drake	6.902610885828497	Jay-Z	6.8928104137311	Lil' Wayne	6.892630019056994	Lupe Fiasco	6.846183414602652	Lil Wayne	6.843045885165255	Wiz Khalifa	6.83900966430811	Eminem	6.8378964792384025	J. Cole	6.836568547738084
5	Linkin Park	7.550848866120103	System of a Down	7.419031765768463	Breaking Benjamin	7.403278283491401	Avenged Sevenfold	7.400717799529694	Papa Roach	7.388022749166973	Rise Against	7.38408133325189	Three Days Grace	7.381559757076658	Slipknot	7.380928784605716	Sum 41	7.38091614190345	Metallica	7.376124217251867
6	소녀시대	6.966128604983172	2NE1	6.845542600487395	SHINee	6.822821674097276	Big Bang	6.793316670467359	Super Junior	6.791585115956435	4minute	6.789350947136815	After School	6.779704872581453	B2ST	6.778677876174362	f(x)	6.777297486572024	EXO-K	6.777255942769805
7	Muse	7.463483116149962	The Killers	7.34142682855422	Placebo	7.339670103124674	Coldplay	7.334799188963067	Keane	7.307795019381493	30 Seconds to Mars	7.2966562303121725	Radiohead	7.292017530725636	Lana Del Rey	7.288689225717123	Linkin Park	7.285017343140307	Kings of Leon	7.283327003911093
8	One Direction	6.470752892171817	Katy Perry	6.355000176902276	Britney Spears	6.309157026828765	Demi Lovato	6.295662370487991	Justin Bieber	6.291926459491206	Taylor Swift	6.277819730524149	Rihanna	6.261522691147254	Selena Gomez	6.260528363979319	Miley Cyrus	6.259035565224095	Ariana Grande	6.2584384928908925
9	Lady Gaga	6.173592384361008	Lana Del Rey	6.064355044834023	Marina & the Diamonds	5.837131406934424	Britney Spears	5.815447152143162	Rihanna	5.810231722277424	Ke$ha	5.804184777497938	Katy Perry	5.801154751861855	Iggy Azalea	5.797312501514063	Nicki Minaj	5.79716043142857	Ellie Goulding	5.796429597362651
10	Björk	8.610973199701528	Tori Amos	8.53603379224776	Madonna	8.499556835231887	Massive Attack	8.449819382890379	PJ Harvey	8.449300539613168	The Knife	8.448947947925973	Kate Bush	8.445669081746573	Portishead	8.442767057929677	Goldfrapp	8.44116624298481	Garbage	8.43960014244941
11	Glee Cast	7.332720992484668	Rihanna	5.900240106093357	Lady Gaga	5.898878759875869	Taylor Swift	5.894622213605291	Katy Perry	5.893502601752133	Britney Spears	5.88982337453949	Adele	5.88872043990785	Beyoncé	5.886562823220704	Demi Lovato	5.886464483056141	Ke$ha	5.88680364827408
12	Mariah Carey	6.751413168804664	Britney Spears	6.643635137871636	Christina Aguilera	6.475639632612588	Madonna	6.460248575607332	Beyoncé	6.443934657458724	Rihanna	6.442744667997203	Lady Gaga	6.430015454506516	Janet Jackson	6.427385238875167	Jennifer Lopez	6.4238470801816545	Michael Jackson	6.42310403238884
13	All Time Low	7.451002689296911	Paramore	7.4500686959771585	Taylor Swift	7.441444837716708	My Chemical Romance	7.421495978218287	McFly	7.417918037928644	Panic! at the Disco	7.4013795696958145	Fall Out Boy	7.399853105076439	The Maine	7.392252294451804	Simple Plan	7.388928589027583	Green Day	7.387528723037227
14	Iron Maiden	8.199844743260215	Metallica	8.185283126235063	Megadeth	8.133182017041495	AC/DC	8.123794512871708	Porcupine Tree	8.121958607194726	Black Sabbath	8.119709876456973	System of a Down	8.116473648040186	Dream Theater	8.115838226777361	Judas Priest	8.111787459249742	Opeth	8.110819117352808
15	Rihanna	5.816402579221332	Lady Gaga	5.390501377047954	Katy Perry	5.381049055792167	Beyoncé	5.36643220495157	Christina Aguilera	5.352648673022717	Nicki Minaj	5.345621387812357	Jessie J	5.338532642115571	Adele	5.337488239977743	Ke$ha	5.3374039701153615	Britney Spears	5.337569082020458
16	Coldplay	8.5405929527762	John Mayer	8.452903284651246	The Fray	8.40617443670545	Snow Patrol	8.40078831798864	Jason Mraz	8.396060628678407	Death Cab for Cutie	8.395873812314166	Taylor Swift	8.394983148635488	Imogen Heap	8.394045771870404	Keane	8.393546081400363	Adele	8.39338869734821
17	Britney Spears	7.278796453457955	Wanessa	7.210665163773992	Christina Aguilera	7.18397428661873	t.A.T.u.	7.174836720564658	Katy Perry	7.157671493424813	Claudia Leitte	7.154500044706327	Pitty	7.151671443945776	Lady Gaga	7.148874238336716	Rihanna	7.148491340580234	Beyoncé	7.139789803386535
18	浜崎あゆみ	7.329559402121588	倖田來未	7.064787423849209	安室奈美恵	7.011567555690968	Boa	6.992436181490643	宇多田ヒカル	6.9744283793129975	Britney Spears	6.944586297632448	Perfume	6.921095133779858	Madonna	6.9207250493449255	YUI	6.919871937992119	Lady Gaga	6.9192961985128925
19	Nightwish	7.54767759562267	Within Temptation	7.379829945263031	Evanescence	7.307484539225055	Epica	7.305012258783667	Korn	7.303235041299472	Disturbed	7.292667141081717	Marilyn Manson	7.292175980645834	Rammstein	7.2892874510409795	Lacuna Coil	7.280764295587366	Kamelot	7.269099590079041
20	Beyoncé	6.683235467809013	Lady Gaga	6.351723970065854	Britney Spears	6.312653801945333	Shakira	6.286579290702527	Rihanna	6.2785776843096315	Christina Aguilera	6.270963349175547	Black Eyed Peas	6.254296912416128	Alicia Keys	6.247813275720862	Madonna	6.242920632083168	Destiny's Child	6.242586839232872
21	Britney Spears	7.339319144848108	Girls Aloud	7.2826629329458	The Saturdays	7.238493982100109	Cheryl Cole	7.223260554677352	Lady Gaga	7.220829850273581	Kylie Minogue	7.217629605550162	Kelly Clarkson	7.207215586286246	Rihanna	7.203502045313384	Christina Aguilera	7.199779399935673	The Veronicas	7.199525952236393
22	Daft Punk	8.579762717432082	deadmau5	8.38730741454626	Skrillex	8.384768548640507	David Guetta	8.380541225694662	The Prodigy	8.372358354162348	Pendulum	8.3615579624431	Tiësto	8.361284498334069	Nero	8.357517980376956	Armin van Buuren	8.356848725602983	The Glitch Mob	8.355954273230612
23	O.S.T.R.	7.979471164655862	Pezet	7.816159476869621	The Corrs	7.805678758885998	Tori Amos	7.798465902140451	donGURALesko	7.797899648002154	Eldo	7.796653412709552	Enya	7.796285056646905	Eminem	7.795334730103948	Jewel	7.794004375876104	Christina Aguilera	7.791939809608582
24	Lana Del Rey	7.775952005253755	Florence + the Machine	7.439269674877593	Marina & the Diamonds	7.354077311525712	Ellie Goulding	7.305671070324088	Crystal Castles	7.298911091405871	The xx	7.29174245954506	Lady Gaga	7.289652622329557	Foster the People	7.289445999929223	Lykke Li	7.288565881687512	Sky Ferreira	7.288488141960267
25	Britney Spears	7.242214736185908	Leona Lewis	7.182923502157078	Kelly Clarkson	7.176384884805048	Lady Gaga	7.17532934166047	Rihanna	7.174742875560002	Maroon 5	7.173783449562553	Taylor Swift	7.167188535074291	Adele	7.166567912401624	Katy Perry	7.165513501503759	Enrique Iglesias	7.156015647123657
26	Arctic Monkeys	7.142840720257114	The Strokes	6.944160526419875	The Beatles	6.720619032122661	The Killers	6.712735134475632	The Kooks	6.712307588404134	Oasis	6.706712426539512	Muse	6.7006354800933945	Franz Ferdinand	6.698450255036571	Two Door Cinema Club	6.6980030914377275	The Black Keys	6.697883886708368
27	Adele	7.744031796106292	Amy Winehouse	7.654421882027963	P!nk	7.635028382000385	Pink	7.585154292895405	Alanis Morissette	7.567704353254276	Alicia Keys	7.557085948171675	Florence + the Machine	7.5526785437764445	Christina Aguilera	7.551023446946056	Gwen Stefani	7.546604001827932	Coldplay	7.546583344824019
28	Miley Cyrus	6.214253350994256	Taylor Swift	6.134068143912684	Demi Lovato	6.129138690091057	Britney Spears	6.095863435036507	Selena Gomez & the Scene	6.087294503874525	RBD	6.075302747461119	Katy Perry	6.072325761199608	Jonas Brothers	6.067981231957233	Avril Lavigne	6.0677807127827155	Ashley Tisdale	6.066547316712059
29	Eminem	7.390149481926755	Kanye West	7.3709891178643705	Jay-Z	7.352835120933566	Nas	7.334942290436003	50 Cent	7.321015516319662	2Pac	7.3184903663925684	The Game	7.309332664152531	Snoop Dogg	7.305795008714143	T.I.	7.299494866944668	Lil' Wayne	7.281684204163086
30	Hey	7.37109120055001	Myslovitz	7.299690035574782	happysad	7.241178541251439	Coma	7.1892209767217174	Florence + the Machine	7.186548233684345	Evanescence	7.185779923887058	Nosowska	7.18548309774881	Pidżama Porno	7.171816686506942	Adele	7.170599587965599	Muse	7.170215922175639
31	Rihanna	7.260131082456	Black Eyed Peas	7.198413431881237	David Guetta	7.194677652893389	Britney Spears	7.186737834381764	Lady Gaga	7.181935947481033	Katy Perry	7.176221220936752	Avril Lavigne	7.162682276703876	Pitbull	7.159390067901867	Ke$ha	7.156978174844658	Inna	7.156370200409169
32	Madonna	6.799718786515329	Nelly Furtado	6.740401008539522	Alicia Keys	6.738212677022078	Wanessa	6.736363686484062	Shakira	6.733330570468765	Ricky Martin	6.732037383185512	Laura Pausini	6.731428793552132	Mariah Carey	6.7293959660497205	Rihanna	6.729222950682188	P!nk	6.728862497666925
33	Los Hermanos	8.052047854545645	Legião Urbana	7.979361034734428	The Beatles	7.977160511458902	Arctic Monkeys	7.963166541254037	Charlie Brown JR.	7.95821663285966	[unknown]	7.955653940731878	Coldplay	7.954277220866886	Engenheiros Do Hawaii	7.952932377826497	<Artista Desconhecido>	7.950604816318351	Chico Buarque	7.950462357771718
34	Rihanna	7.35451458813742	Chris Brown	7.265556722120927	Usher	7.144738232997105	Beyoncé	7.142623300698001	Nicki Minaj	7.1418180161793785	Kanye West	7.132128928124456	Drake	7.1313361780779285	Ne-Yo	7.121410647858116	Justin Bieber	7.119696366794496	Ciara	7.11911894682514
35	Madonna	7.182746770185634	Kylie Minogue	6.3410758290015705	Lady Gaga	6.219994895664357	Christina Aguilera	6.17844300294136	Britney Spears	6.176568168667882	Cher	6.1678507712778785	Rihanna	6.167514968023763	Mylène Farmer	6.167497205987364	Lana Del Rey	6.167495031009692	Beyoncé	6.167582413539996
36	Katy Perry	6.531686286747294	Paramore	6.512581674453997	Avril Lavigne	6.438301747726536	Rihanna	6.369114053868558	The Pretty Reckless	6.367273430592207	Lady Gaga	6.359818892725451	Ke$ha	6.339387361940699	Taylor Swift	6.3326112823872185	Evanescence	6.331609919863959	Lana Del Rey	6.327443176525735
37	The Beatles	7.746656428287847	Pink Floyd	7.415628439511933	Nirvana	7.412748791844722	Red Hot Chili Peppers	7.39863733789047	Led Zeppelin	7.397057039518529	Pearl Jam	7.370492995652604	Foo Fighters	7.367755424829463	The Rolling Stones	7.3676626674047965	Paul McCartney	7.367034249280856	The Doors	7.3669951914718785
38	Britney Spears	5.960699086813876	Christina Aguilera	5.139472677832877	Madonna	5.138504733247623	Rihanna	5.134036771452069	Lady Gaga	5.131202898353583	Katy Perry	5.114605605370179	Ke$ha	5.1109756380266935	Avril Lavigne	5.110305848153388	Beyoncé	5.111759602937132	Kylie Minogue	5.1151050432165945
39	Hans Zimmer	8.324661860824714	Bring Me the Horizon	8.265645030548763	A Day to Remember	8.25411615662077	blink-182	8.241905385808703	John Williams	8.236974826478201	Asking Alexandria	8.23344886173249	Harry Gregson-Williams	8.231513135175124	Jeremy Soule	8.229601272099057	Howard Shore	8.226775503432565	James Horner	8.226738923987599
