topic	TopUser_0	Pzu_0	TopUser_1	Pzu_1	TopUser_2	Pzu_2	TopUser_3	Pzu_3	TopUser_4	Pzu_4	TopUser_5	Pzu_5	TopUser_6	Pzu_6	TopUser_7	Pzu_7	TopUser_8	Pzu_8	TopUser_9	Pzu_9	TopObj_0	Poz_0	TopObj_1	Poz_1	TopObj_2	Poz_2	TopObj_3	Poz_3	TopObj_4	Poz_4	TopObj_5	Poz_5	TopObj_6	Poz_6	TopObj_7	Poz_7	TopObj_8	Poz_8	TopObj_9	Poz_9	AgeUser_0	Country_0	AgeUser_1	Country_1	AgeUser_2	Country_2	AgeUser_3	Country_3	AgeUser_4	Country_4	AgeUser_5	Country_5	AgeUser_6	Country_6	AgeUser_7	Country_7	AgeUser_8	Country_8	AgeUser_9	Country_9
0	13473	0.985566382845	12012	0.951501291597	14301	0.937310452418	9673	0.839108220887	13259	0.807768361582	9296	0.787429068755	14745	0.776197309417	14461	0.771007017544	10019	0.764573643411	15136	0.74977501296	Rihanna	0.0549294997008	Ellie Goulding	0.0491217522754	Katy Perry	0.0340825198989	Lana Del Rey	0.031307933556	Imagine Dragons	0.0279854592566	Justin Timberlake	0.024043755286	Florence + the Machine	0.0237128855145	Calvin Harris	0.0215767177168	OneRepublic	0.0214119754184	Lorde	0.0188617146539	17	CA	21	BR	19	BR	22	ID	23	PL	21	PL	20	BR	16	BR	17	BR	14	CL
1	1019	0.995841274126	9267	0.992598768214	14132	0.986569788677	275	0.984217110573	10159	0.980896998234	3734	0.960336906585	3181	0.924370437956	2921	0.912262462323	14967	0.904744680851	13324	0.89649694501	Queen	0.0740300044897	Michael Jackson	0.0534243936534	The Beatles	0.0261209934147	Madonna	0.0242234922401	U2	0.0209723200388	Electric Light Orchestra	0.0206738494096	David Bowie	0.0185642574128	Pet Shop Boys	0.0172134028113	Depeche Mode	0.0139145953079	Bon Jovi	0.0136737100927	100	UK	43	DE	25	UK	42	NL	17	ES	23	BR	23	PL	26	FR	0	CA	23	PL
2	4296	0.994143149284	4938	0.991745250201	5438	0.984463462073	11931	0.980769957082	2082	0.98050962963	9341	0.979752743706	7597	0.968479690522	5722	0.967844262295	9294	0.960735085945	4714	0.936169177289	Taylor Swift	0.258796600483	Katy Perry	0.0343996632064	Carrie Underwood	0.0314859141126	Kelly Clarkson	0.0299626886054	Avril Lavigne	0.0270389381796	Demi Lovato	0.0176529416044	Paramore	0.015911802123	Lady Antebellum	0.014501334362	Lady Gaga	0.0134357015959	Colbie Caillat	0.0116763463566	21	RU	0	UK	23	ID	27	PH	18	BR	24	MY	23	DE	19	UK	24	AT	19	UK
3	12355	0.99109208667	840	0.983730036942	13792	0.983494446314	7244	0.974236390877	6272	0.973734989648	3115	0.967364544676	10768	0.963043993232	1234	0.956897924608	822	0.953108496732	8787	0.952126953125	Radiohead	0.0489351246359	The Smiths	0.0274351766457	The National	0.0189394943944	Interpol	0.0181205988079	The Cure	0.0165242257525	Arcade Fire	0.0163949831051	The Beatles	0.0156575812282	Sigur Rós	0.0135464421678	Joy Division	0.0110944739243	Depeche Mode	0.0109532671454	18	UK	24	CZ	18	LV	22	SE	18	RU	23	US	18	PT	22	US	22	US	0	US
4	3785	0.991594539939	921	0.98696002492	3413	0.980364356977	7512	0.972159301691	10422	0.970009694896	9803	0.969633190883	1571	0.966642899165	8378	0.963284564067	2916	0.962578427499	13949	0.959218340611	Kanye West	0.14612759318	Kid Cudi	0.0626741678485	Drake	0.0488385396224	Jay-Z	0.045184458445	Lil' Wayne	0.0451152922868	Lupe Fiasco	0.0228252490955	Lil Wayne	0.0205491506082	Wiz Khalifa	0.0170548241117	Eminem	0.0158878716095	J. Cole	0.0142671625943	22	US	0	NL	19	UK	17	RU	19	VE	113	US	17	DK	20	BR	18	US	0	US
5	1835	0.998439018344	8864	0.994327222414	2186	0.993492374556	2653	0.985171964764	11296	0.980078450844	10819	0.975146895507	3222	0.972320708313	2749	0.955102823655	9111	0.95120754717	2549	0.950035139092	Linkin Park	0.0735145541147	System of a Down	0.0363474192984	Breaking Benjamin	0.0303819061216	Avenged Sevenfold	0.0293382121602	Papa Roach	0.0237047285853	Rise Against	0.0217384609461	Three Days Grace	0.0204002535743	Slipknot	0.0200535484932	Sum 41	0.0200465537306	Metallica	0.0172100247757	20	US	20	RU	25	TR	0	DE	21	IN	16	IL	23	BR	22	BR	20	US	0	US
6	11918	0.996960598504	12540	0.994310165768	12434	0.994069040963	2299	0.990957713275	7411	0.984866939611	4765	0.980412159495	14837	0.979912649361	8762	0.97584292893	8334	0.971823045267	3952	0.96412267958	소녀시대	0.0892341822038	2NE1	0.0542261380881	SHINee	0.0458804354693	Big Bang	0.0329674061914	Super Junior	0.0320847143239	4minute	0.0309138440964	After School	0.0253013108135	B2ST	0.0246300301769	f(x)	0.023695968518	EXO-K	0.0236672443502	21	BR	0	MX	16	BG	20	PL	19	PL	23	US	21	BR	18	BR	19	UK	20	NL
7	3570	0.993498118482	1294	0.874811761749	1066	0.868795679568	7785	0.858285714286	4291	0.847817142857	8820	0.845497652582	7962	0.824532258065	2926	0.821635421045	11040	0.797192938209	4956	0.795190769231	Muse	0.0768501062701	The Killers	0.0432550177167	Placebo	0.0426678034531	Coldplay	0.0410127009976	Keane	0.0308888940041	30 Seconds to Mars	0.0259829618216	Radiohead	0.0237208516453	Lana Del Rey	0.0219833836125	Linkin Park	0.0199172322855	Kings of Leon	0.0188972245581	0	MX	20	UK	20	UK	20	FR	34	US	28	TR	18	MX	22	UA	21	MX	19	CZ
8	9235	0.984453340265	9058	0.983546778573	12607	0.981419085944	14552	0.963004216672	5370	0.946226027397	13957	0.925039385207	13290	0.923725995316	14743	0.923116405718	14905	0.922452454212	9970	0.919904827586	One Direction	0.105747617547	Katy Perry	0.0709994794967	Britney Spears	0.0531567400202	Demi Lovato	0.0469176038824	Justin Bieber	0.0450603845041	Taylor Swift	0.0372929975804	Rihanna	0.0252082873676	Selena Gomez	0.0241957787525	Miley Cyrus	0.0225274117197	Ariana Grande	0.0217931307748	17	DE	12	AU	19	BR	0	BR	16	US	16	BR	16	BR	0	PL	18	BR	22	BR
9	5538	0.994118858785	12516	0.975220233834	11448	0.960206437292	12075	0.941041814316	12248	0.933980769231	13024	0.927413043478	2870	0.924623518649	11583	0.920701162791	8720	0.920696572862	11689	0.91847582205	Lady Gaga	0.159542441008	Lana Del Rey	0.133460435817	Marina & the Diamonds	0.0558597073632	Britney Spears	0.0425557867208	Rihanna	0.038545733457	Ke$ha	0.0330116361034	Katy Perry	0.0295557606301	Iggy Azalea	0.0232187374858	Nicki Minaj	0.0228381761876	Ellie Goulding	0.0204315795403	21	PT	18	BR	20	BR	19	BR	20	BR	83	BR	21	BR	17	BR	18	BR	22	BR
