	from_Z_0	from_Z_1	from_Z_2	from_Z_3	from_Z_4	from_Z_5	from_Z_6	from_Z_7	from_Z_8	from_Z_9	from_Z_10	from_Z_11	from_Z_12	from_Z_13	from_Z_14	from_Z_15	from_Z_16	from_Z_17	from_Z_18	from_Z_19	from_Z_20	from_Z_21	from_Z_22	from_Z_23	from_Z_24	from_Z_25	from_Z_26	from_Z_27	from_Z_28	from_Z_29	from_Z_30	from_Z_31	from_Z_32	from_Z_33	from_Z_34	from_Z_35	from_Z_36	from_Z_37	from_Z_38	from_Z_39
to_Z_0	0.0163760560774	0.0137488345135	0.018301223723599998	0.015731448359399998	0.0158155852288	0.00986609759398	0.0194666693037	0.017169206740299998	0.0170837164939	0.0195994355343	0.017979756572200002	0.011565420964299999	0.00989963695067	0.0162864833202	0.008610162960889999	0.010839288113299999	0.019809947611799997	0.0107138052116	0.0104717034445	0.010261008990200002	0.008876508772379998	0.008666874637059998	0.0152353787724	0.0213103991663	0.019217544634	0.015017166879100001	0.0117107777862	0.0109050775684	0.0137322118878	0.0183012185882	0.010895258169100001	0.0148453509148	0.00787168764954	0.012335503598499999	0.013827964765099999	0.007662242673609999	0.014361043674800001	0.0376915553971	0.006580225807300001	0.017595533516400003
to_Z_1	0.05112403547450001	0.0248601603335	0.036399777920300004	0.06321905714819999	0.060869811525099994	0.0529041632426	0.028767723078099997	0.0413321152878	0.026832809797200003	0.031059293119999998	0.0266830034185	0.026349736988900002	0.044366924378500004	0.027467919392300002	0.0337960989655	0.0307369849039	0.055173840707700005	0.0388626207909	0.0434460490654	0.030024182576299997	0.054326316064800005	0.05943190811080001	0.0258796310998	0.0297310773104	0.0279288665444	0.05685549161730001	0.0256805297475	0.0312010720457	0.0511406505355	0.0615362932154	0.08267862069019999	0.0488836453766	0.041363368853599994	0.0313256461749	0.030677202519700002	0.08818301230289999	0.019726067282700002	0.031963833352900005	0.055206668565	0.0511546773006
to_Z_2	0.018799908392	0.00720631637396	0.0161844477765	0.0123675999209	0.023207347236	0.0148716635917	0.0205943999257	0.013462520685799999	0.020918754920299997	0.0216089864453	0.0203453406957	0.012570154965899999	0.0144388329186	0.018670224521400002	0.008121302421199999	0.017933069902299998	0.0186560345926	0.0338946944911	0.015205185546600001	0.021627066166400002	0.0195183935759	0.018015525787400004	0.0244016611553	0.02342850872	0.019404884504799998	0.0173987384734	0.0102102604303	0.0138763108437	0.0161852053419	0.046725454001699994	0.009853716286469999	0.0209999053854	0.035555931718800005	0.0144591447769	0.0455561180945	0.0158987173427	0.0126016659807	0.00783019186638	0.018037967983	0.012581461430899998
to_Z_3	0.0693502966361	0.055230824945099996	0.0502312583643	0.0336872478895	0.024864372321200003	0.045856889888000005	0.0283790242795	0.0325483539702	0.042028257499699996	0.051397941234	0.0408835225557	0.0475669034705	0.0687355429758	0.033889208961800005	0.059984681191099995	0.163764428945	0.0334295184136	0.0604196312196	0.05125252843230001	0.0627651770923	0.08083734614930001	0.0635412505754	0.0452595648111	0.054324904035900005	0.027975272066900005	0.09162860469550001	0.0125525017273	0.041085650128300004	0.0442330775797	0.050916888645	0.0399805414956	0.09153515239319998	0.112066748265	0.0372243796932	0.0944423246053	0.0415628403293	0.0574931617839	0.0355041829531	0.06702222645480001	0.044831267202300004
to_Z_4	0.0313728968624	0.0183288065538	0.0258962675916	0.0148973585074	0.0308347168518	0.0338725873887	0.023457626551599997	0.028760529614900002	0.023114744099599998	0.0233724989883	0.0157427419328	0.018598648198	0.0671479458407	0.06506792233519999	0.0362300014739	0.0157631535681	0.0171419613615	0.0218562789377	0.0116878954179	0.041352762044099996	0.014025900660899999	0.020940227952000002	0.020323884632299997	0.013515283677700001	0.0234648944913	0.0171825515507	0.0194025978079	0.018235396350300002	0.0218883575208	0.0241862534522	0.0116054586953	0.0355343048424	0.016252245167799998	0.047785402060900005	0.0228512107051	0.00972682371656	0.0656519105117	0.0233886178833	0.0156559184562	0.0254700371531
to_Z_5	0.029867030303899998	0.0164939403213	0.0312904110495	0.0334024144989	0.0240645787776	0.0693100670364	0.021769438566	0.0365938787497	0.021767446725400003	0.0237048894784	0.0341082580541	0.015546219795699999	0.0301991689725	0.0369767732219	0.0271320898176	0.0165974918674	0.044742954672499995	0.020432240900000002	0.0202703998214	0.0334413045714	0.027919608390099996	0.019184667989799998	0.019893392526200003	0.024728616832699998	0.025312000605500002	0.0246117630088	0.0167173216566	0.03859843421859999	0.0199933000392	0.0193351733088	0.0221184139717	0.018457969128900003	0.0340947830753	0.0202330468379	0.0181641202175	0.0204256437543	0.030012408310599998	0.0130662134769	0.0240189662127	0.020661186301400004
to_Z_6	0.0188190720503	0.011380633513	0.0195531863933	0.019877341747400003	0.0151252015945	0.00889614534774	0.0241942477731	0.010644098006500001	0.0161476087136	0.0185086269879	0.016192935664600002	0.0100867823298	0.0249343267007	0.009297061961260001	0.030324846348099996	0.0104527824161	0.013455785114799999	0.0105263052186	0.0194303391384	0.00885456677809	0.00881897014527	0.011010515294600001	0.015452288626700002	0.024502220381900003	0.036362198053099995	0.0112820604938	0.0139540047499	0.00975599804324	0.0146970346606	0.0165623613442	0.0121244717948	0.00976910637225	0.00389178243921	0.0248840357282	0.00823876543312	0.017599209607099996	0.010709583476	0.0192404799341	0.00657614351459	0.012004243054899999
to_Z_7	0.024374144956900004	0.019344918716799997	0.0195266067675	0.018154298491599996	0.0157378108987	0.0201249875901	0.0196481941537	0.020561981542099997	0.022031242621499997	0.020932566133900002	0.0218590783598	0.012711419842299999	0.0129721796242	0.014743667924799999	0.019769607625099998	0.014877076969700002	0.0237625845565	0.020167716496400003	0.015707316324400002	0.0253885521135	0.0261425079942	0.0161620710649	0.0189363790474	0.022974924557400002	0.0227833523378	0.019508235565	0.049771103211099996	0.0247150660011	0.0176121796179	0.009519122517649999	0.016096348910999998	0.0197039743342	0.016070582077600003	0.019622535996099998	0.013874107090700001	0.013775782428800001	0.0158418296145	0.027556446742199998	0.0201023227996	0.0198519671825
to_Z_8	0.0149073412449	0.018410775673	0.015256082963299998	0.007565886603090001	0.0187493003617	0.00978203089584	0.0505024829964	0.0078551495808	0.015737878398	0.018189432561299998	0.014048910188500002	0.010870453882	0.011669621725099999	0.00944278640208	0.00718916958646	0.0141875428374	0.0136320189126	0.0170637622179	0.00905847975014	0.0074375835805100005	0.0254510924026	0.008776207389209999	0.014347251643900001	0.026791802245400002	0.0190473060094	0.0143113741876	0.00952916760734	0.016908408918899998	0.012344208698	0.028613596731199998	0.00747765107159	0.0175121435841	0.0266706987548	0.0119464714477	0.0173594123438	0.013363576355	0.010764268957	0.00852256992404	0.007839891936840001	0.0103113326165
to_Z_9	0.0160605415274	0.0280118108002	0.016312110752399998	0.0171166250936	0.0146637482672	0.013012281827700001	0.019442848441999998	0.0181342121255	0.016728708337100003	0.0202465727275	0.0186816739799	0.0122097142698	0.0132674444443	0.013694247045100002	0.020658533128700002	0.0146523512359	0.0189497298548	0.012357514597	0.00980070859215	0.00841404998368	0.0194171234892	0.0131073267977	0.0161848268613	0.021155503538	0.020354609650599997	0.016310232098299998	0.0209979635372	0.0193720555312	0.0134082703877	0.0149575574915	0.012472864129999999	0.0134240259932	0.0162883486906	0.0228825902164	0.018227757967	0.0241339366903	0.012662010282100001	0.036592287399699996	0.011135396870200001	0.018705215374599998
